date,title,time,type
2025-01-01,Team Meeting,10:00 AM,Meeting
2025-02-02,Project Kickoff,1:00 PM,Meeting
2025-03-03,Design Review,2:00 PM,Meeting
2025-04-04,Code Review,3:00 PM,Meeting
2025-05-05,Team Retrospective,4:00 PM,Meeting
2025-06-06,Development Sprint Planning,11:00 AM,Meeting
2025-07-07,Client Feedback Session,2:00 PM,Meeting
2025-08-08,Team Lunch,12:00 PM,Social
2025-09-09,Product Demo,10:00 AM,Meeting
2025-10-10,Marketing Strategy Session,1:00 PM,Meeting
2025-11-11,Sales Review,3:00 PM,Meeting
2025-12-12,Team Building Activity,2:00 PM,Social
2025-01-13,Quarterly Planning,10:00 AM,Meeting
2025-02-14,Training Session,1:00 PM,Training
2025-03-15,Code Freeze,5:00 PM,Meeting
2025-04-16,Product Launch,9:00 AM,Meeting
2025-05-17,Customer Support Review,11:00 AM,Meeting
2025-06-18,Team Workshop,2:00 PM,Training
2025-07-19,Performance Review,3:00 PM,Meeting
2025-08-20,Innovation Day,10:00 AM,Social
2025-09-21,Budget Planning,1:00 PM,Meeting
2025-10-22,Team Feedback Session,4:00 PM,Meeting
2025-11-23,Holiday Party,6:00 PM,Social
2025-12-24,Year-End Review,10:00 AM,Meeting
